action,actor,category,condition,confidence,counter,expected_result,phase,purpose,risk,rule_id,source_class,target,trigger
trigger_coordinated_press,mezzala,PRESSING,ball_in_Z5,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the gk possession moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00102,C,Z5,gk_possession
trigger_coordinated_press,wing_back,PRESSING,ball_in_Z21,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the back pass moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00103,C,Z21,back_pass
trigger_coordinated_press,attacking_fb,PRESSING,ball_in_Z10,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the loose pass moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00104,C,Z10,loose_pass
trigger_coordinated_press,mezzala,PRESSING,ball_in_Z28,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the aerial duel contested moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00105,C,Z28,aerial_duel_contested
trigger_coordinated_press,number_10,PRESSING,ball_in_Z7,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the slow pass moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00106,C,Z7,slow_pass
trigger_coordinated_press,ball_playing_cb,PRESSING,ball_in_Z9,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the weak foot receiver moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00107,C,Z9,weak_foot_receiver
trigger_coordinated_press,regista,PRESSING,ball_in_Z16,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the fb possession moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00108,C,Z16,fb_possession
trigger_coordinated_press,deep_lying_forward,PRESSING,ball_in_Z29,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the back pass moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00109,C,Z29,back_pass
trigger_coordinated_press,wide_target_man,PRESSING,ball_in_Z19,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the poor body orientation moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00110,C,Z19,poor_body_orientation
trigger_coordinated_press,box_to_box,PRESSING,ball_in_Z7,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the poor body orientation moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00111,C,Z7,poor_body_orientation
trigger_coordinated_press,stopper,PRESSING,ball_in_Z23,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the long pass in flight moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00112,C,Z23,long_pass_in_flight
trigger_coordinated_press,segundo_volante,PRESSING,ball_in_Z21,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the receiver facing own goal moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00113,C,Z21,receiver_facing_own_goal
trigger_coordinated_press,inside_forward,PRESSING,ball_in_Z19,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the bad first touch moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00114,C,Z19,bad_first_touch
trigger_coordinated_press,advanced_forward,PRESSING,ball_in_Z1,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the long pass in flight moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00115,C,Z1,long_pass_in_flight
trigger_coordinated_press,regista,PRESSING,ball_in_Z20,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the isolated player moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00116,C,Z20,isolated_player
trigger_coordinated_press,traditional_winger,PRESSING,ball_in_Z7,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the second ball loose moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00117,C,Z7,second_ball_loose
trigger_coordinated_press,wide_target_man,PRESSING,ball_in_Z23,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the midfielder receiving moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00118,C,Z23,midfielder_receiving
trigger_coordinated_press,regista,PRESSING,ball_in_Z18,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the midfielder receiving moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00119,C,Z18,midfielder_receiving
trigger_coordinated_press,false_fb,PRESSING,ball_in_Z7,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the cb possession moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00120,C,Z7,cb_possession
trigger_coordinated_press,traditional_winger,PRESSING,ball_in_Z23,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the slow pass moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00121,C,Z23,slow_pass
trigger_coordinated_press,trequartista,PRESSING,ball_in_Z24,medium,"ball carrier releases via a pre-planned escape lane (third-man, bounce pass, or direct long ball)",regain possession or force a lower-quality action from the ball carrier,defensive_organisation,exploit the sideline reception moment to force a turnover or rushed action,uncoordinated press leaves space elsewhere if only one player engages,PT00122,C,Z24,sideline_reception
